ID,Branch,City,Customer type,Gender,Product line,Unit price,Quantity,Tax 4%,Total,Date,Time,Payment,cogs,gross margin %,gross income,Rating
2478,Branch 2,Delhi,Subscriber,Men,Men Footwear,31.7,3,3.8,103.66,14-12-21,16:54,COD,95.1,5,4.76,4.3
2479,Branch 4,Noida,Subscriber,Men,Watches,29.34,9,10.56,287.86,15-12-21,10:11,COD,264.09,5,13.2,6.6
2480,Branch 1,Delhi,Subscriber,Men,Men Footwear,32.31,1,1.29,35.22,16-12-21,11:26,COD,32.31,5,1.62,6.6
2481,Branch 2,Agra,Non-Subscriber,Men,Men Footwear,32.11,7,8.99,245.02,17-12-21,20:29,COD,224.79,5,11.24,8.3
2482,Branch 3,Chennai,Subscriber,Men,Men Footwear,29.19,9,10.51,286.38,18-12-21,12:12,Prepaid,262.74,5,13.14,6.1
2483,Branch 1,Coimbatore,Non-Subscriber,Women,Jewellery,38.97,4,6.24,169.91,19-12-21,13:05,Prepaid,155.88,5,7.79,4.9
2484,Branch 2,Hyderabad,Subscriber,Women,Bags,38.97,9,14.03,382.3,20-12-21,16:19,COD,350.73,5,17.54,5.9
2485,Branch 3,Bangalore,Non-Subscriber,Men,Men Footwear,25.9,9,9.32,254.04,21-12-21,19:48,Prepaid,233.07,5,11.65,6.9
2486,Branch 1,Surat,Subscriber,Men,Men Footwear,33.57,3,4.03,109.76,22-12-21,15:25,COD,100.7,5,5.04,6.5
2487,Branch 2,Kolkata,Non-Subscriber,Women,Women Apparel,30.17,9,10.86,295.96,23-12-21,14:42,Prepaid,271.53,5,13.58,7.2
2488,Branch 3,Delhi,Subscriber,Men,Men Footwear,29.19,3,3.5,95.46,24-12-21,18:59,COD,87.58,5,4.38,8.2
2489,Branch 1,Delhi,Non-Subscriber,Men,Men Footwear,38.22,1,1.53,41.66,25-12-21,20:47,Prepaid,38.22,5,1.91,4.2
2490,Branch 4,Delhi,Subscriber,Men,Watches,29.19,8,9.34,254.56,26-12-21,13:21,COD,233.54,5,11.68,9.7
2491,Branch 3,Ghaziabad,Non-Subscriber,Men,Men Footwear,24.92,1,1,27.17,27-12-21,19:48,COD,24.92,5,1.25,8.1
2492,Branch 1,Ludhiana,Subscriber,Men,Men Footwear,33.83,9,12.18,331.9,28-12-21,18:20,COD,304.5,5,15.22,7.1
2493,Branch 4,Bangalore,Subscriber,Men,Watches,24.3,7,6.8,185.37,29-12-21,20:24,COD,170.07,5,8.5,8.6
2494,Branch 3,Tirupathi,Subscriber,Women,Bags,33.57,9,12.08,329.29,30-12-21,13:44,Prepaid,302.1,5,15.11,8.3
2495,Branch 1,Bangalore,Subscriber,Unisex,Bags,18.99,1,0.76,20.7,31-12-21,11:48,COD,18.99,5,0.95,7
2496,Branch 2,Hyderabad,Subscriber,Women,Women Apparel,34.7,7,9.72,264.74,01-01-22,14:14,COD,242.88,5,12.14,5.4
2497,Branch 3,Jaipur,Non-Subscriber,Men,Men Footwear,37.11,1,1.48,40.45,02-01-22,15:51,COD,37.11,5,1.86,8.4
2498,Branch 1,Bhubaneswar,Subscriber,Unisex,Furniture,39.46,5,7.89,215.05,03-01-22,11:17,Prepaid,197.29,5,9.86,6.1
2499,Branch 2,Ghaziabad,Non-Subscriber,Men,Men Footwear,30.68,1,1.23,33.45,04-01-22,17:36,COD,30.68,5,1.53,8.8
2500,Branch 3,Raipur,Subscriber,Women,Watches,29.78,7,8.34,227.25,05-01-22,15:47,COD,208.49,5,10.42,9.5
2501,Branch 1,Delhi,Subscriber,Women,Women Footwear,24.68,1,0.99,26.9,06-01-22,15:53,COD,24.68,5,1.23,5.3
2502,Branch 2,Delhi,Subscriber,Women,Bags,26.1,1,1.04,28.45,07-01-22,12:40,COD,26.1,5,1.31,9
2503,Branch 3,Delhi,Subscriber,Women,Watches,29.34,1,1.17,31.98,08-01-22,19:48,COD,29.34,5,1.47,8.9
2504,Branch 1,Trichy,Subscriber,Unisex,Bags,30.48,1,1.22,33.22,09-01-22,17:53,Prepaid,30.48,5,1.52,6.2
2505,Branch 2,Vijayawada,Subscriber,Women,Watches,37.11,1,1.48,40.45,10-01-22,16:36,COD,37.11,5,1.86,9.4
2506,Branch 3,Bangalore,Subscriber,Unisex,Watches,29.84,7,8.35,227.67,11-01-22,20:54,COD,208.87,5,10.44,9.7
2507,Branch 4,Hyderabad,Subscriber,Men,Watches,29.39,2,2.35,64.07,12-01-22,12:50,COD,58.78,5,2.94,6.6
2508,Branch 2,Pune,Subscriber,Men,Men Footwear,33.09,5,6.62,180.34,13-01-22,10:48,COD,165.45,5,8.27,7.6
2509,Branch 3,Kolkata,Non-Subscriber,Women,Women Apparel,32.96,4,5.27,143.72,14-01-22,14:28,Prepaid,131.85,5,6.59,6.9
2510,Branch 1,Delhi,Subscriber,Men,Men Footwear,25.9,5,5.18,141.13,15-01-22,17:15,Prepaid,129.48,5,6.47,5
2511,Branch 2,Kanpur,Subscriber,Unisex,Bags,18.99,6,4.56,124.19,16-01-22,18:03,COD,113.94,5,5.7,6.1
2512,Branch 4,Delhi,Subscriber,Men,Watches,24.3,4,3.89,105.93,17-01-22,17:29,COD,97.18,5,4.86,6
2513,Branch 1,Delhi,Non-Subscriber,Men,Men Footwear,21.62,6,5.19,141.42,18-01-22,18:05,COD,129.74,5,6.49,9.2
2514,Branch 2,Panipat,Subscriber,Men,Men Footwear,29.19,6,7.01,190.92,19-01-22,12:07,Prepaid,175.16,5,8.76,7.5
2515,Branch 3,Bangalore,Non-Subscriber,Women,Women Apparel,32.99,6,7.92,215.79,20-01-22,19:49,COD,197.97,5,9.9,8.1
2516,Branch 1,Chennai,Subscriber,Men,Men Footwear,29.19,1,1.17,31.82,21-01-22,15:52,COD,29.19,5,1.46,8.4
2517,Branch 4,Mysore,Subscriber,Men,Watches,27.5,4,4.4,119.9,22-01-22,16:48,COD,110,5,5.5,9.7
2518,Branch 3,Coimbatore,Subscriber,Unisex,Bags,21.87,4,3.5,95.34,23-01-22,20:46,Prepaid,87.47,5,4.37,8.6
2519,Branch 4,Pune,Subscriber,Men,Watches,27.21,1,1.09,29.65,24-01-22,18:14,Prepaid,27.21,5,1.36,9.6
2520,Branch 4,Kolkata,Subscriber,Men,Watches,38.45,4,6.15,167.63,25-01-22,15:05,Prepaid,153.79,5,7.69,4.2
2521,Branch 3,Delhi,Non-Subscriber,Women,Women Apparel,34.7,2,2.78,75.64,26-01-22,10:34,COD,69.39,5,3.47,7.6
2522,Branch 1,Delhi,Subscriber,Unisex,Watches,29.84,5,5.97,162.62,27-01-22,11:23,COD,149.19,5,7.46,7.2
2523,Branch 2,Delhi,Non-Subscriber,Women,Jewellery,30.48,5,6.1,166.09,28-01-22,13:55,Prepaid,152.38,5,7.62,5.8
2524,Branch 3,Delhi,Subscriber,Men,Men Apparel,30.55,1,1.22,33.3,29-01-22,11:43,Prepaid,30.55,5,1.53,4.9
2525,Branch 4,Delhi,Subscriber,Men,Watches,24.3,5,4.86,132.41,30-01-22,14:36,COD,121.48,5,6.07,7.9
2526,Branch 4,Hyderabad,Subscriber,Men,Sunglasses,38.94,4,6.23,169.78,31-01-22,16:03,COD,155.76,5,7.79,7
2527,Branch 3,Chennai,Subscriber,Women,Women Footwear,32.1,3,3.85,104.98,01-02-22,20:03,COD,96.31,5,4.82,8.9
2528,Branch 1,Chennai,Subscriber,Men,Men Footwear,24.52,1,0.98,26.73,02-02-22,14:55,COD,24.52,5,1.23,6.6
2529,Branch 4,Hyderabad,Subscriber,Men,Sunglasses,40.88,9,14.72,401,03-02-22,11:28,COD,367.89,5,18.39,6
2530,Branch 3,Ahmedabad,Subscriber,Men,Men Footwear,31.7,8,10.14,276.43,04-02-22,19:41,COD,253.61,5,12.68,9.2
2531,Branch 1,Kolkata,Subscriber,Women,Watches,33.83,5,6.77,184.39,05-02-22,19:01,Prepaid,169.17,5,8.46,6.9
2532,Branch 2,Noida,Subscriber,Unisex,Bags,21.87,7,6.12,166.84,06-02-22,18:04,Prepaid,153.07,5,7.65,7.1
2533,Branch 3,Delhi,Non-Subscriber,Men,Men Footwear,29.19,9,10.51,286.39,07-02-22,19:20,COD,262.74,5,13.14,8.1
2534,Branch 1,Delhi,Subscriber,Men,Men Footwear,32.99,8,10.56,287.71,08-02-22,10:31,COD,263.96,5,13.2,8.3
2535,Branch 2,Delhi,Non-Subscriber,Men,Men Footwear,23.36,4,3.74,101.87,09-02-22,13:28,COD,93.46,5,4.67,6.1
2536,Branch 3,Kanpur,Subscriber,Unisex,Sunglasses,32.44,6,7.79,212.16,10-02-22,11:36,COD,194.64,5,9.73,7.3
2537,Branch 1,Vishakapatnam,Subscriber,Unisex,Sunglasses,33.09,1,1.32,36.07,11-02-22,11:32,COD,33.09,5,1.65,4.9
2538,Branch 2,Bangalore,Subscriber,Men,Men Footwear,27.21,1,1.09,29.65,12-02-22,11:44,Prepaid,27.21,5,1.36,6.8
2539,Branch 3,Bangalore,Non-Subscriber,Men,Men Footwear,58.76,3,7.05,192.14,13-02-22,17:16,COD,176.28,5,8.81,4.8
2540,Branch 1,Hyderabad,Subscriber,Women,Bags,41.88,5,8.38,228.25,14-02-22,18:43,COD,209.41,5,10.47,5
2541,Branch 2,Baroda,Subscriber,Women,Women Footwear,24.12,2,1.93,52.58,15-02-22,11:00,COD,48.24,5,2.41,9
2542,Branch 3,Kolkata,Subscriber,Men,Men Footwear,30.95,1,1.24,33.73,16-02-22,10:30,COD,30.95,5,1.55,7
2543,Branch 1,Delhi,Subscriber,Unisex,Sunglasses,49.35,3,5.92,161.37,17-02-22,12:14,COD,148.05,5,7.4,4.9
2544,Branch 2,Ghaziabad,Subscriber,Women,Watches,29.11,5,5.82,158.67,18-02-22,16:43,COD,145.57,5,7.28,5.4
2545,Branch 3,Gurgaon,Subscriber,Women,Watches,34.33,1,1.37,37.42,19-02-22,20:40,COD,34.33,5,1.72,9.1
2546,Branch 1,Delhi,Subscriber,Men,Sports Equipment,33.66,3,4.04,110.07,20-02-22,13:40,COD,100.98,5,5.05,4.8
2547,Branch 2,Delhi,Non-Subscriber,Women,Women Apparel,32.99,9,11.88,323.68,21-02-22,16:23,COD,296.95,5,14.85,8.8
2548,Branch 4,Chennai,Subscriber,Men,Watches,30.06,8,9.62,262.12,22-02-22,12:08,COD,240.48,5,12.02,5.9
2549,Branch 1,Bangalore,Subscriber,Women,Bags,31.7,4,5.07,138.22,23-02-22,17:45,COD,126.8,5,6.34,4.1
2550,Branch 4,Bangalore,Subscriber,Men,Watches,35.03,5,7.01,190.93,24-02-22,10:28,COD,175.17,5,8.76,7.2
2551,Branch 3,Chennai,Non-Subscriber,Women,Jewellery,63.86,2,5.11,139.22,25-02-22,20:31,Prepaid,127.73,5,6.39,6.4
2552,Branch 1,Nagpur,Subscriber,Unisex,Sunglasses,49.35,8,15.79,430.33,26-02-22,10:49,COD,394.8,5,19.74,8.8
2553,Branch 2,Kolkata,Non-Subscriber,Women,Women Apparel,29.34,8,9.39,255.87,27-02-22,12:34,COD,234.75,5,11.74,9.6
2554,Branch 3,Lucknow,Subscriber,Women,Women Apparel,26.73,5,5.35,145.66,28-02-22,10:23,COD,133.63,5,6.68,8.5
2555,Branch 1,Gurgaon,Non-Subscriber,Men,Men Footwear,25.9,6,6.22,169.36,01-03-22,18:51,Prepaid,155.38,5,7.77,6.8
2556,Branch 2,Delhi,Subscriber,Men,Men Footwear,31.7,2,2.54,69.11,02-03-22,13:45,COD,63.4,5,3.17,7.6
2557,Branch 3,Delhi,Subscriber,Women,Watches,30.17,1,1.21,32.88,03-03-22,19:38,COD,30.17,5,1.51,9.4
2558,Branch 4,Delhi,Subscriber,Men,Sunglasses,38.94,9,14.02,382.01,04-03-22,20:23,COD,350.47,5,17.52,4.4
2559,Branch 2,Chennai,Non-Subscriber,Men,Men Footwear,33.21,5,6.64,181,05-03-22,15:24,COD,166.06,5,8.3,5.5
2560,Branch 3,Bangalore,Subscriber,Unisex,Furniture,38.22,2,3.06,83.33,06-03-22,16:54,Prepaid,76.45,5,3.82,8.1
2561,Branch 1,Hyderabad,Non-Subscriber,Men,Men Footwear,29.19,8,9.34,254.56,07-03-22,12:32,COD,233.54,5,11.68,7.2
2562,Branch 2,Hyderabad,Subscriber,Women,Bags,32.31,9,11.63,316.98,08-03-22,15:42,Prepaid,290.81,5,14.54,4.3
2563,Branch 3,Ahmedabad,Non-Subscriber,Women,Women Apparel,26.73,7,7.48,203.93,09-03-22,13:58,COD,187.09,5,9.35,5.6
2564,Branch 1,Kolkata,Subscriber,Women,Women Apparel,24.68,5,4.94,134.49,10-03-22,15:08,COD,123.39,5,6.17,4.9
2565,Branch 4,Delhi,Subscriber,Men,Watches,38.29,1,1.53,41.74,11-03-22,13:02,COD,38.29,5,1.91,8.9
2566,Branch 3,Delhi,Subscriber,Women,Women Apparel,34.7,9,12.49,340.38,12-03-22,13:01,COD,312.27,5,15.61,6.2
2567,Branch 1,Delhi,Non-Subscriber,Men,Men Footwear,30.06,9,10.82,294.89,13-03-22,16:40,Prepaid,270.54,5,13.53,9.3
2568,Branch 2,Delhi,Subscriber,Men,Men Footwear,25.94,8,8.3,226.21,14-03-22,13:55,COD,207.53,5,10.38,7.6
2569,Branch 3,Chandigarh,Subscriber,Unisex,Sunglasses,33.09,6,7.94,216.41,15-03-22,10:33,COD,198.54,5,9.93,5.4
2570,Branch 1,Chennai,Subscriber,Women,Women Footwear,33.83,6,8.12,221.27,16-03-22,16:42,COD,203,5,10.15,4
2571,Branch 2,Bangalore,Subscriber,Unisex,Watches,29.78,4,4.77,129.86,17-03-22,17:16,COD,119.14,5,5.96,7.5
2572,Branch 3,Bangalore,Subscriber,Men,Men Footwear,32.1,9,11.56,314.93,18-03-22,11:48,COD,288.93,5,14.45,8.5
2573,Branch 1,Hyderabad,Non-Subscriber,Men,Men Footwear,24.92,6,5.98,163,19-03-22,19:35,COD,149.54,5,7.48,8.2
2574,Branch 4,Ahmedabad,Subscriber,Men,Watches,38.29,1,1.53,41.74,20-03-22,19:55,COD,38.29,5,1.91,8
2575,Branch 3,Howrah,Subscriber,Women,Bags,24.3,4,3.89,105.93,21-03-22,14:33,COD,97.18,5,4.86,8.5
2576,Branch 4,Delhi,Subscriber,Men,Sunglasses,40.88,6,9.81,267.33,22-03-22,19:49,COD,245.26,5,12.26,6.2
2577,Branch 4,Jalandhar,Subscriber,Men,Watches,29.39,3,3.53,96.1,23-03-22,18:43,COD,88.16,5,4.41,5.7
2578,Branch 3,Delhi,Subscriber,Women,Bags,33.21,3,3.99,108.6,24-03-22,14:43,COD,99.63,5,4.98,6.1
2579,Branch 1,Gurgaon,Subscriber,Women,Women Footwear,32.96,3,3.96,107.79,25-03-22,13:54,COD,98.89,5,4.94,7.6
2580,Branch 2,Delhi,Subscriber,Men,Men Footwear,26.67,1,1.07,29.07,26-03-22,12:15,COD,26.67,5,1.33,8
2581,Branch 4,Bangalore,Subscriber,Men,Watches,36.86,2,2.95,80.36,27-03-22,12:37,COD,73.72,5,3.69,7.2
2582,Branch 1,Bangalore,Subscriber,Women,Home,29.84,3,3.58,97.57,28-03-22,19:54,COD,89.52,5,4.48,8.3
2583,Branch 2,Bangalore,Subscriber,Women,Bags,38.97,1,1.56,42.48,29-03-22,15:06,COD,38.97,5,1.95,7.9
2584,Branch 3,Chennai,Subscriber,Men,Men Footwear,30.55,3,3.67,99.89,30-03-22,18:03,COD,91.65,5,4.58,9.4
2585,Branch 4,Pune,Subscriber,Men,Sunglasses,40.88,2,3.27,89.11,31-03-22,15:58,COD,81.75,5,4.09,6.9
2586,Branch 2,Cuttack,Subscriber,Men,Men Footwear,32.44,3,3.89,106.08,01-04-22,13:53,Prepaid,97.32,5,4.87,9.7
2587,Branch 3,Faridabad,Subscriber,Women,Bags,41.88,2,3.35,91.3,02-04-22,14:03,COD,83.76,5,4.19,9.1
2588,Branch 1,Chandigarh,Subscriber,Unisex,Bags,21.87,4,3.5,95.34,03-04-22,16:38,Prepaid,87.47,5,4.37,7.6
2589,Branch 2,Delhi,Non-Subscriber,Women,Women Apparel,33.83,9,12.18,331.9,04-04-22,11:07,Prepaid,304.5,5,15.22,5.2
2590,Branch 3,Gurgaon,Subscriber,Women,Watches,38.45,4,6.15,167.63,05-04-22,12:23,COD,153.79,5,7.69,4.3
2591,Branch 1,Delhi,Non-Subscriber,Men,Men Footwear,33.21,5,6.64,181,06-04-22,10:54,COD,166.06,5,8.3,4.2
2592,Branch 4,Chennai,Subscriber,Men,Watches,51.68,6,12.4,337.98,07-04-22,17:38,COD,310.07,5,15.5,9.3
2593,Branch 3,Bangalore,Non-Subscriber,Men,Men Footwear,29.19,1,1.17,31.82,08-04-22,14:13,COD,29.19,5,1.46,9.7
2594,Branch 1,Bangalore,Subscriber,Men,Men Apparel,36.28,2,2.9,79.1,09-04-22,11:51,Prepaid,72.57,5,3.63,4.7
2595,Branch 2,Chennai,Non-Subscriber,Men,Men Footwear,23.36,2,1.87,50.93,10-04-22,13:05,Prepaid,46.73,5,2.34,5.2
2596,Branch 3,Pune,Subscriber,Women,Bags,41.88,2,3.35,91.3,11-04-22,11:30,COD,83.76,5,4.19,8.6
2597,Branch 1,Kolkata,Non-Subscriber,Men,Men Footwear,34.33,2,2.75,74.85,12-04-22,13:30,Prepaid,68.67,5,3.43,9.4
2598,Branch 2,Delhi,Subscriber,Unisex,Sunglasses,22.95,8,7.34,200.08,13-04-22,19:11,COD,183.56,5,9.18,5.2
2599,Branch 3,Delhi,Non-Subscriber,Women,Women Apparel,26.73,4,4.28,116.53,14-04-22,18:53,COD,106.91,5,5.35,9.1
2600,Branch 1,Delhi,Subscriber,Unisex,Furniture,24.72,1,0.99,26.95,15-04-22,14:22,Prepaid,24.72,5,1.24,9.5
2601,Branch 2,Delhi,Subscriber,Unisex,Bags,36.8,1,1.47,40.11,16-04-22,17:16,COD,36.8,5,1.84,6.3
2602,Branch 3,Delhi,Subscriber,Men,Men Footwear,24.72,1,0.99,26.95,17-04-22,10:06,COD,24.72,5,1.24,4.4
2603,Branch 1,Hyderabad,Subscriber,Women,Watches,37.11,9,13.36,364.06,18-04-22,20:35,COD,334,5,16.7,6.8
2604,Branch 2,Hyderabad,Subscriber,Men,Men Footwear,29.11,5,5.82,158.67,19-04-22,13:54,Prepaid,145.57,5,7.28,7.7
2605,Branch 3,Hyderabad,Non-Subscriber,Men,Men Footwear,37.11,6,8.91,242.71,20-04-22,20:08,COD,222.67,5,11.13,4.4
2606,Branch 1,Hyderabad,Subscriber,Men,Men Footwear,33.66,3,4.04,110.07,21-04-22,15:26,Prepaid,100.98,5,5.05,8.5
2607,Branch 2,Pune,Subscriber,Unisex,Sunglasses,22.95,6,5.51,150.06,22-04-22,12:56,COD,137.67,5,6.88,5.1
2608,Branch 3,Durgapur,Subscriber,Men,Men Footwear,31.7,3,3.8,103.66,23-04-22,19:16,Prepaid,95.1,5,4.76,6.3
2609,Branch 4,Jamshedpur,Subscriber,Men,Watches,27.5,1,1.1,29.98,24-04-22,12:20,COD,27.5,5,1.38,5.1
2610,Branch 4,Delhi,Subscriber,Men,Watches,38.29,1,1.53,41.74,25-04-22,10:37,COD,38.29,5,1.91,8.8
2611,Branch 3,Delhi,Subscriber,Unisex,Watches,36.86,1,1.47,40.18,26-04-22,10:18,COD,36.86,5,1.84,6.1
2612,Branch 1,Kanpur,Subscriber,Unisex,Watches,38.29,8,12.25,333.89,27-04-22,11:23,COD,306.32,5,15.32,6.6
2613,Branch 4,Delhi,Subscriber,Men,Watches,36.86,2,2.95,80.36,28-04-22,11:45,COD,73.72,5,3.69,7.1
2614,Branch 3,Vijayawada,Subscriber,Unisex,Sunglasses,33.09,1,1.32,36.07,29-04-22,16:08,COD,33.09,5,1.65,8.9
2615,Branch 1,Hyderabad,Subscriber,Women,Watches,25.9,9,9.32,254.04,30-04-22,11:25,Prepaid,233.07,5,11.65,4.1
2616,Branch 2,Hyderabad,Subscriber,Men,Men Footwear,32.1,8,10.27,279.94,01-05-22,12:24,COD,256.83,5,12.84,4.1
2617,Branch 3,Hyderabad,Non-Subscriber,Women,Women Apparel,30.17,5,6.03,164.42,02-05-22,19:51,Prepaid,150.85,5,7.54,6.8
2618,Branch 4,Mumbai,Subscriber,Men,Watches,27.5,4,4.4,119.9,03-05-22,18:10,COD,110,5,5.5,4.3
2619,Branch 2,Durgapur,Subscriber,Unisex,Sunglasses,33.09,5,6.62,180.34,03-05-21,11:22,Prepaid,165.45,5,8.27,3.9
2620,Branch 3,Lucknow,Subscriber,Men,Men Footwear,24.52,5,4.9,133.64,03-05-21,17:55,COD,122.61,5,6.13,8.4
2621,Branch 1,Dehradun,Subscriber,Women,Bags,41.88,2,3.35,91.3,03-05-21,15:30,COD,83.76,5,4.19,9.1
2622,Branch 2,Delhi,Subscriber,Women,Women Apparel,51.68,1,2.07,56.33,03-05-21,19:44,Prepaid,51.68,5,2.58,9.7
2623,Branch 3,Delhi,Non-Subscriber,Men,Men Footwear,32.11,6,7.71,210.02,03-05-21,15:27,COD,192.68,5,9.63,4.8
2624,Branch 1,Delhi,Subscriber,Women,Women Footwear,32.1,9,11.56,314.93,03-05-21,11:25,COD,288.93,5,14.45,4.3
2625,Branch 2,Chennai,Non-Subscriber,Men,Men Footwear,29.19,1,1.17,31.82,03-05-21,15:42,COD,29.19,5,1.46,6.7
2626,Branch 3,Bangalore,Subscriber,Women,Women Apparel,29.39,1,1.18,32.03,03-05-21,16:04,COD,29.39,5,1.47,9
2627,Branch 1,Hyderabad,Subscriber,Unisex,Bags,18.99,1,0.76,20.7,03-05-21,12:37,COD,18.99,5,0.95,8.6
2628,Branch 2,Bangalore,Subscriber,Unisex,Sunglasses,38.29,9,13.78,375.63,04-05-21,14:41,COD,344.61,5,17.23,4.9
2629,Branch 3,Mumbai,Non-Subscriber,Men,Men Footwear,24.52,2,1.96,53.46,05-05-21,14:19,COD,49.04,5,2.45,7.4
2630,Branch 1,Howrah,Subscriber,Unisex,Sunglasses,30.06,1,1.2,32.77,06-05-21,18:19,Prepaid,30.06,5,1.5,8.1
2631,Branch 2,Gurgaon,Subscriber,Women,Women Footwear,35.34,9,12.72,346.71,07-05-21,14:08,COD,318.09,5,15.9,6.6
2632,Branch 3,Delhi,Subscriber,Unisex,Sunglasses,22.95,2,1.84,50.02,08-05-21,16:38,COD,45.89,5,2.29,5.3
2633,Branch 4,Delhi,Subscriber,Men,Watches,48.33,1,1.93,52.68,09-05-21,10:54,Prepaid,48.33,5,2.42,6.9
2634,Branch 2,Delhi,Subscriber,Men,Men Footwear,33.83,2,2.71,73.76,10-05-21,11:29,COD,67.67,5,3.38,4.6
2635,Branch 4,Delhi,Subscriber,Men,Watches,48.33,2,3.87,105.36,11-05-21,19:28,COD,96.66,5,4.83,4.9
2636,Branch 1,Hyderabad,Subscriber,Women,Women Footwear,32.1,9,11.56,314.93,12-05-21,15:01,COD,288.93,5,14.45,4.9
2637,Branch 2,Chennai,Non-Subscriber,Women,Women Apparel,49.35,6,11.84,322.75,13-05-21,20:31,COD,296.1,5,14.81,5.9
2638,Branch 3,Hyderabad,Subscriber,Men,Men Footwear,41.18,1,1.65,44.88,14-05-21,12:16,COD,41.18,5,2.06,6.2
2639,Branch 1,Chennai,Non-Subscriber,Men,Men Footwear,32.11,4,5.14,140.01,15-05-21,15:27,Prepaid,128.45,5,6.42,8.4
2640,Branch 2,Jaipur,Subscriber,Women,Women Footwear,35.34,2,2.83,77.05,16-05-21,17:36,COD,70.69,5,3.53,7.4
2641,Branch 4,Howrah,Subscriber,Men,Watches,26.67,2,2.13,58.15,17-05-21,20:00,COD,53.34,5,2.67,6.3
2642,Branch 1,Ghaziabad,Subscriber,Men,Men Footwear,58.76,7,16.45,448.33,18-05-21,15:29,COD,411.31,5,20.57,4.6
2643,Branch 4,Raipur,Subscriber,Men,Watches,27.5,1,1.1,29.98,19-05-21,15:08,COD,27.5,5,1.38,5.9
2644,Branch 3,Delhi,Subscriber,Men,Men Footwear,38.97,7,10.91,297.34,20-05-21,19:26,COD,272.79,5,13.64,3.9
2645,Branch 1,Lucknow,Non-Subscriber,Men,Men Footwear,30.95,4,4.95,134.92,21-05-21,15:53,COD,123.78,5,6.19,5.4
2646,Branch 2,Delhi,Subscriber,Women,Bags,33.57,8,10.74,292.7,22-05-21,18:43,Prepaid,268.53,5,13.43,8.6
2647,Branch 3,Chennai,Subscriber,Women,Bags,31.7,5,6.34,172.77,23-05-21,14:58,COD,158.51,5,7.93,7.3
2648,Branch 1,Chennai,Subscriber,Women,Bags,26.73,1,1.07,29.13,24-05-21,19:55,COD,26.73,5,1.34,5.5
2649,Branch 2,Vishakapatnam,Non-Subscriber,Men,Men Footwear,29.19,1,1.17,31.82,25-05-21,15:10,COD,29.19,5,1.46,6.2
2650,Branch 3,Madurai,Subscriber,Women,Women Apparel,29.34,9,10.56,287.86,26-05-21,16:44,COD,264.09,5,13.2,7
2651,Branch 1,Ahmedabad,Subscriber,Women,Watches,26.1,4,4.18,113.8,27-05-21,18:22,COD,104.41,5,5.22,7.7
2652,Branch 2,Howrah,Subscriber,Men,Men Footwear,33.21,5,6.64,181,28-05-21,11:52,COD,166.06,5,8.3,9.8
2653,Branch 4,Delhi,Subscriber,Men,Watches,32.75,9,11.79,321.29,29-05-21,17:24,COD,294.76,5,14.74,7.2
2654,Branch 1,Delhi,Subscriber,Men,Men Footwear,37.12,8,11.88,323.66,30-05-21,15:31,COD,296.94,5,14.85,5
2655,Branch 2,Delhi,Non-Subscriber,Men,Men Footwear,36.28,3,4.35,118.65,31-05-21,18:04,Prepaid,108.85,5,5.44,9.3
2656,Branch 3,Ghaziabad,Subscriber,Women,Watches,29.34,2,2.35,63.97,01-06-21,14:13,COD,58.69,5,2.93,5.7
2657,Branch 1,Gurgaon,Subscriber,Women,Watches,37.11,1,1.48,40.45,02-06-21,10:23,COD,37.11,5,1.86,7.9
2658,Branch 2,Chennai,Subscriber,Women,Women Apparel,24.12,2,1.93,52.58,03-06-21,10:11,Prepaid,48.24,5,2.41,7.8
2659,Branch 3,Vijayawada,Subscriber,Women,Sunglasses,38.29,4,6.13,166.95,04-06-21,15:48,COD,153.16,5,7.66,5.8
2660,Branch 1,Hyderabad,Subscriber,Men,Men Footwear,30.68,1,1.23,33.45,05-06-21,17:46,COD,30.68,5,1.53,4.8
2661,Branch 2,Tirupur,Non-Subscriber,Women,Women Apparel,24.68,2,1.97,53.8,06-06-21,11:46,COD,49.35,5,2.47,9.2
2662,Branch 3,Ahmedabad,Subscriber,Unisex,Sunglasses,21.62,6,5.19,141.42,07-06-21,12:07,COD,129.74,5,6.49,7.8
2663,Branch 4,Durgapur,Subscriber,Men,Watches,33.83,5,6.77,184.39,08-06-21,18:14,Prepaid,169.17,5,8.46,5.8
2664,Branch 4,Delhi,Subscriber,Men,Watches,55.13,9,19.85,540.82,09-06-21,14:45,COD,496.16,5,24.81,9.8
2665,Branch 3,Ghaziabad,Subscriber,Women,Women Footwear,35.34,1,1.41,38.52,10-06-21,11:39,COD,35.34,5,1.77,7.6
2666,Branch 1,Faridabad,Subscriber,Men,Men Footwear,33.09,3,3.97,108.2,11-06-21,15:44,COD,99.27,5,4.96,7.5
2667,Branch 2,Delhi,Subscriber,Unisex,Bags,30.48,2,2.44,66.44,12-06-21,13:06,Prepaid,60.95,5,3.05,7.6
2668,Branch 3,Delhi,Subscriber,Men,Men Footwear,29.19,3,3.5,95.46,13-06-21,20:43,COD,87.58,5,4.38,6.3
2669,Branch 1,Bangalore,Non-Subscriber,Women,Home,29.84,5,5.97,162.62,14-06-21,14:19,COD,149.19,5,7.46,4.3
2670,Branch 2,Bangalore,Subscriber,Women,Women Apparel,41.88,1,1.68,45.65,15-06-21,10:01,Prepaid,41.88,5,2.09,4
